date,close,predicted,predicted_name,actual,actual_name,prob_bear,prob_neutral,prob_bull,correct
2024-10-15,61.14,1,Neutral,2.0,Bull,0.2235,0.571,0.2055,False
2024-10-16,61.79,1,Neutral,1.0,Neutral,0.2917,0.5085,0.1999,True
2024-10-17,61.88,1,Neutral,1.0,Neutral,0.3903,0.4081,0.2016,True
2024-10-18,61.69,1,Neutral,1.0,Neutral,0.3994,0.4436,0.157,True
2024-10-21,61.6,1,Neutral,1.0,Neutral,0.2836,0.5782,0.1382,True
2024-10-22,61.6,1,Neutral,1.0,Neutral,0.3647,0.4931,0.1421,True
2024-10-23,61.6,2,Bull,2.0,Bull,0.3697,0.2254,0.4049,True
2024-10-24,62.61,2,Bull,0.0,Bear,0.3122,0.2802,0.4076,False
2024-10-25,62.24,2,Bull,0.0,Bear,0.3629,0.1818,0.4553,False
2024-10-28,61.51,0,Bear,1.0,Neutral,0.5392,0.2174,0.2434,False
2024-10-29,61.33,2,Bull,0.0,Bear,0.3399,0.2018,0.4583,False
2024-10-30,60.69,2,Bull,1.0,Neutral,0.3811,0.2135,0.4054,False
2024-10-31,60.5,2,Bull,1.0,Neutral,0.3537,0.2903,0.356,False
2024-11-01,60.23,0,Bear,1.0,Neutral,0.4581,0.2259,0.316,False
2024-11-04,60.05,2,Bull,1.0,Neutral,0.327,0.2176,0.4554,False
2024-11-05,59.95,0,Bear,1.0,Neutral,0.4771,0.1731,0.3498,False
2024-11-06,60.23,2,Bull,1.0,Neutral,0.3898,0.1654,0.4449,False
2024-11-07,60.32,0,Bear,1.0,Neutral,0.3857,0.296,0.3183,False
2024-11-08,60.14,0,Bear,0.0,Bear,0.4051,0.3142,0.2807,True
2024-11-11,59.68,1,Neutral,1.0,Neutral,0.3329,0.3561,0.311,True
2024-11-12,59.41,2,Bull,1.0,Neutral,0.3423,0.3063,0.3514,False
2024-11-13,59.5,0,Bear,1.0,Neutral,0.3664,0.3171,0.3165,False
2024-11-14,59.5,2,Bull,0.0,Bear,0.3144,0.2898,0.3958,False
2024-11-15,58.31,0,Bear,0.0,Bear,0.371,0.2933,0.3357,True
2024-11-18,57.85,2,Bull,1.0,Neutral,0.3942,0.1414,0.4644,False
2024-11-19,57.67,0,Bear,2.0,Bull,0.3766,0.2819,0.3415,False
2024-11-20,58.22,2,Bull,1.0,Neutral,0.3897,0.2118,0.3985,False
2024-11-21,58.49,0,Bear,2.0,Bull,0.5048,0.2766,0.2185,False
2024-11-22,58.86,0,Bear,1.0,Neutral,0.427,0.3911,0.1818,False
2024-11-25,58.86,0,Bear,2.0,Bull,0.4126,0.3204,0.2669,False
2024-11-26,59.31,0,Bear,1.0,Neutral,0.4718,0.2239,0.3043,False
2024-11-27,59.13,1,Neutral,1.0,Neutral,0.3247,0.3752,0.3001,True
2024-11-28,59.04,0,Bear,1.0,Neutral,0.4064,0.2812,0.3123,False
2024-11-29,59.13,2,Bull,1.0,Neutral,0.276,0.3204,0.4036,False
2024-12-02,59.04,2,Bull,0.0,Bear,0.3331,0.2575,0.4095,False
2024-12-03,58.49,0,Bear,0.0,Bear,0.3716,0.3114,0.317,True
2024-12-04,57.94,1,Neutral,2.0,Bull,0.3505,0.3673,0.2821,False
2024-12-05,58.86,0,Bear,1.0,Neutral,0.4049,0.3552,0.2399,False
2024-12-06,58.67,0,Bear,1.0,Neutral,0.5497,0.2193,0.231,False
2024-12-09,58.67,0,Bear,1.0,Neutral,0.4321,0.2416,0.3263,False
2024-12-10,58.49,0,Bear,1.0,Neutral,0.3994,0.2488,0.3518,False
2024-12-11,58.76,0,Bear,2.0,Bull,0.4507,0.2903,0.259,False
2024-12-12,59.13,0,Bear,0.0,Bear,0.4468,0.2928,0.2604,True
2024-12-13,58.76,0,Bear,2.0,Bull,0.4442,0.1801,0.3757,False
2024-12-16,59.5,1,Neutral,0.0,Bear,0.3245,0.3427,0.3328,False
2024-12-17,59.13,1,Neutral,1.0,Neutral,0.2964,0.4216,0.282,True
2024-12-18,59.22,0,Bear,0.0,Bear,0.5179,0.1571,0.325,True
2024-12-19,58.49,2,Bull,2.0,Bull,0.381,0.1621,0.4569,True
2024-12-20,59.5,2,Bull,0.0,Bear,0.2685,0.1994,0.532,False
2024-12-23,58.95,0,Bear,1.0,Neutral,0.482,0.2198,0.2982,False
2024-12-24,58.86,2,Bull,1.0,Neutral,0.3121,0.2725,0.4155,False
2024-12-25,58.95,2,Bull,1.0,Neutral,0.2964,0.1683,0.5354,False
2024-12-26,58.86,2,Bull,1.0,Neutral,0.3828,0.1388,0.4784,False
2024-12-27,58.86,0,Bear,0.0,Bear,0.4709,0.2863,0.2429,True
2024-12-30,58.4,0,Bear,1.0,Neutral,0.4761,0.3139,0.21,False
2024-12-31,58.49,0,Bear,1.0,Neutral,0.4459,0.3446,0.2095,False
2025-01-02,58.21,1,Neutral,1.0,Neutral,0.3305,0.3766,0.2929,True
2025-01-03,58.12,0,Bear,0.0,Bear,0.4061,0.3171,0.2768,True
2025-01-06,57.66,1,Neutral,0.0,Bear,0.3206,0.3553,0.3241,False
2025-01-07,56.92,0,Bear,1.0,Neutral,0.349,0.3205,0.3305,False
2025-01-08,56.92,1,Neutral,1.0,Neutral,0.2749,0.5037,0.2214,True
2025-01-09,57.01,1,Neutral,0.0,Bear,0.2135,0.4329,0.3536,False
2025-01-10,56.55,1,Neutral,1.0,Neutral,0.2474,0.6542,0.0984,True
2025-01-13,56.64,1,Neutral,1.0,Neutral,0.3145,0.5478,0.1377,True
2025-01-14,56.83,1,Neutral,1.0,Neutral,0.2936,0.5171,0.1893,True
2025-01-15,56.92,1,Neutral,1.0,Neutral,0.2713,0.6166,0.1121,True
2025-01-16,57.1,1,Neutral,1.0,Neutral,0.1992,0.4265,0.3742,True
2025-01-17,57.2,1,Neutral,1.0,Neutral,0.2825,0.5253,0.1922,True
2025-01-20,57.1,2,Bull,1.0,Neutral,0.2768,0.3557,0.3675,False
2025-01-21,57.01,1,Neutral,1.0,Neutral,0.3512,0.4005,0.2483,True
2025-01-22,56.83,1,Neutral,2.0,Bull,0.3609,0.4788,0.1603,False
2025-01-23,57.2,1,Neutral,1.0,Neutral,0.3672,0.446,0.1868,True
2025-01-24,57.38,2,Bull,0.0,Bear,0.3336,0.2679,0.3985,False
2025-02-03,55.81,1,Neutral,1.0,Neutral,0.3358,0.4905,0.1737,True
2025-02-04,55.54,1,Neutral,2.0,Bull,0.3584,0.5256,0.116,False
2025-02-05,56.74,1,Neutral,0.0,Bear,0.3086,0.5514,0.1399,False
2025-02-06,56.0,2,Bull,1.0,Neutral,0.3171,0.3047,0.3782,False
2025-02-07,56.09,1,Neutral,1.0,Neutral,0.2455,0.5797,0.1748,True
2025-02-10,55.91,1,Neutral,1.0,Neutral,0.2419,0.6321,0.126,True
2025-02-11,55.72,1,Neutral,2.0,Bull,0.2918,0.5259,0.1823,False
2025-02-12,56.27,1,Neutral,1.0,Neutral,0.2939,0.5907,0.1153,True
2025-02-13,56.0,1,Neutral,0.0,Bear,0.2893,0.6296,0.0811,False
2025-02-14,55.63,1,Neutral,0.0,Bear,0.2614,0.6137,0.1249,False
2025-02-17,55.35,1,Neutral,2.0,Bull,0.3067,0.4532,0.2402,False
2025-02-18,55.63,1,Neutral,2.0,Bull,0.2453,0.5937,0.161,False
2025-02-19,56.09,1,Neutral,1.0,Neutral,0.2364,0.6267,0.1369,True
2025-02-20,56.0,1,Neutral,2.0,Bull,0.2618,0.6534,0.0848,False
2025-02-21,56.64,1,Neutral,2.0,Bull,0.1764,0.6958,0.1278,False
2025-02-24,58.86,1,Neutral,0.0,Bear,0.1519,0.5672,0.2809,False
2025-02-25,58.03,1,Neutral,1.0,Neutral,0.134,0.4931,0.3729,True
2025-02-26,58.21,1,Neutral,0.0,Bear,0.2413,0.5535,0.2052,False
2025-02-27,57.38,1,Neutral,1.0,Neutral,0.1911,0.6403,0.1685,True
2025-02-28,57.38,1,Neutral,2.0,Bull,0.2023,0.6625,0.1352,False
2025-03-03,58.3,1,Neutral,1.0,Neutral,0.2787,0.6008,0.1205,True
2025-03-04,58.58,1,Neutral,0.0,Bear,0.1366,0.6259,0.2375,False
2025-03-05,57.84,1,Neutral,1.0,Neutral,0.1562,0.5087,0.3352,True
2025-03-06,58.03,1,Neutral,1.0,Neutral,0.1488,0.5076,0.3436,True
2025-03-07,57.84,0,Bear,1.0,Neutral,0.4069,0.3416,0.2515,False
2025-03-10,57.66,1,Neutral,1.0,Neutral,0.2728,0.525,0.2022,True
2025-03-11,57.57,1,Neutral,1.0,Neutral,0.2901,0.4974,0.2125,True
2025-03-12,57.38,1,Neutral,1.0,Neutral,0.163,0.5356,0.3014,True
2025-03-13,57.2,1,Neutral,1.0,Neutral,0.2357,0.3895,0.3748,True
2025-03-14,57.29,1,Neutral,2.0,Bull,0.3736,0.4784,0.148,False
2025-03-17,58.12,1,Neutral,0.0,Bear,0.2284,0.5356,0.2361,False
2025-03-18,57.66,2,Bull,1.0,Neutral,0.209,0.3608,0.4302,False
2025-03-19,57.47,1,Neutral,0.0,Bear,0.1438,0.6866,0.1697,False
2025-03-20,57.01,1,Neutral,0.0,Bear,0.3363,0.4057,0.258,False
2025-03-21,56.55,1,Neutral,1.0,Neutral,0.118,0.5835,0.2985,True
2025-03-24,56.64,2,Bull,1.0,Neutral,0.2066,0.1962,0.5971,False
2025-03-25,56.64,1,Neutral,1.0,Neutral,0.2061,0.6701,0.1239,True
2025-03-26,56.46,0,Bear,1.0,Neutral,0.4542,0.2797,0.2661,False
2025-03-27,56.37,1,Neutral,0.0,Bear,0.2858,0.5131,0.2011,False
2025-03-28,55.63,1,Neutral,2.0,Bull,0.3131,0.3692,0.3177,False
2025-03-31,55.91,1,Neutral,1.0,Neutral,0.1908,0.7254,0.0838,True
2025-04-01,56.09,1,Neutral,0.0,Bear,0.2075,0.5855,0.2069,False
2025-04-02,55.81,1,Neutral,0.0,Bear,0.2122,0.5093,0.2784,False
2025-04-03,52.12,1,Neutral,2.0,Bull,0.1537,0.617,0.2292,False
2025-04-04,53.97,1,Neutral,0.0,Bear,0.1723,0.7013,0.1263,False
2025-04-08,50.28,1,Neutral,0.0,Bear,0.1447,0.5505,0.3048,False
2025-04-09,47.97,1,Neutral,2.0,Bull,0.1483,0.5021,0.3497,False
2025-04-10,51.29,1,Neutral,2.0,Bull,0.1484,0.5322,0.3195,False
2025-04-11,53.05,1,Neutral,0.0,Bear,0.1546,0.6043,0.2411,False
2025-04-14,52.49,1,Neutral,0.0,Bear,0.1884,0.7051,0.1065,False
2025-04-15,51.94,1,Neutral,0.0,Bear,0.1837,0.4632,0.3532,False
2025-04-16,51.66,1,Neutral,1.0,Neutral,0.199,0.5713,0.2297,True
2025-04-17,51.66,1,Neutral,2.0,Bull,0.2446,0.6397,0.1157,False
2025-04-18,52.22,1,Neutral,1.0,Neutral,0.1898,0.7129,0.0973,True
2025-04-21,52.31,1,Neutral,0.0,Bear,0.189,0.6958,0.1152,False
2025-04-22,51.66,1,Neutral,2.0,Bull,0.2288,0.5658,0.2054,False
2025-04-23,52.03,1,Neutral,1.0,Neutral,0.1898,0.6365,0.1737,True
2025-04-24,51.94,1,Neutral,2.0,Bull,0.1893,0.6967,0.1141,False
2025-04-25,53.78,1,Neutral,0.0,Bear,0.2726,0.6288,0.0986,False
2025-04-28,53.05,1,Neutral,1.0,Neutral,0.2452,0.631,0.1238,True
2025-04-29,53.14,2,Bull,0.0,Bear,0.1913,0.2024,0.6063,False
2025-05-05,52.49,2,Bull,1.0,Neutral,0.182,0.345,0.473,False
2025-05-06,52.49,1,Neutral,2.0,Bull,0.3783,0.4772,0.1445,False
